County_and_Quarter,X,County.x,Quarter,Petition_for_Modification,FTA_Warrant,Prison,Probation,Straight_1170h,Split_1170h,Probation_Petition,MS_Petition,PRCS_Petition,Parole_Petition,County.y,Name,Decarceratory,Did_Incumbent_Seek_Reelection,If_Sought_Did_Incumbent_Win,Contested,Election_Year,Notes...election.years...2014..2018..2022.with.New.DA.coming.in.Q1.after..,Total_Sentences,Percentage_Prison,Percentage_Probation,Percentage_Split,Percentage_Straight
Amador_ 2014 Q2 Court,88,Amador, 2014 Q2 Court,156,42,21,24,3,0,102,3,5,3,Amador,Todd Riebe,1,1,1,0,0,,48,43.75,50,0,6.25
Amador_ 2014 Q3 Court,89,Amador, 2014 Q3 Court,167,42,17,18,6,3,68,0,2,2,Amador,Todd Riebe,1,1,1,0,1,,44,38.63636364,40.90909091,6.818181818,13.63636364
Amador_ 2014 Q4 Court,90,Amador, 2014 Q4 Court,168,19,20,19,2,0,59,0,6,0,Amador,Todd Riebe,1,1,1,0,1,,41,48.7804878,46.34146341,0,4.87804878
Amador_ 2015 Q1 Court,91,Amador, 2015 Q1 Court,80,14,36,16,4,0,49,2,6,1,Amador,Todd Riebe,1,1,1,0,0,,56,64.28571429,28.57142857,0,7.142857143
Amador_ 2015 Q2 Court,92,Amador, 2015 Q2 Court,122,19,23,12,2,0,32,1,10,0,Amador,Todd Riebe,1,1,1,0,0,,37,62.16216216,32.43243243,0,5.405405405
Amador_ 2015 Q3 Court,93,Amador, 2015 Q3 Court,126,32,29,8,2,0,42,2,7,0,Amador,Todd Riebe,1,1,1,0,0,,39,74.35897436,20.51282051,0,5.128205128
Amador_ 2015 Q4 Court,94,Amador, 2015 Q4 Court,127,30,30,10,2,0,25,6,6,2,Amador,Todd Riebe,1,1,1,0,0,,42,71.42857143,23.80952381,0,4.761904762
Amador_ 2016 Q1 Court,95,Amador, 2016 Q1 Court,125,32,42,16,0,0,47,5,3,2,Amador,Todd Riebe,1,1,1,0,0,,58,72.4137931,27.5862069,0,0
Amador_ 2016 Q2 Court,96,Amador, 2016 Q2 Court,100,24,42,18,3,0,42,2,2,0,Amador,Todd Riebe,1,1,1,0,0,,63,66.66666667,28.57142857,0,4.761904762
Amador_ 2016 Q3 Court,97,Amador, 2016 Q3 Court,140,26,31,13,0,0,38,3,8,0,Amador,Todd Riebe,1,1,1,0,0,,44,70.45454545,29.54545455,0,0
Amador_ 2016 Q4 Court,98,Amador, 2016 Q4 Court,91,26,36,27,1,0,31,0,11,2,Amador,Todd Riebe,1,1,1,0,0,,64,56.25,42.1875,0,1.5625
Amador_ 2017 Q1 Court,99,Amador, 2017 Q1 Court,120,31,38,24,NA,NA,41,2,4,NA,Amador,Todd Riebe,1,1,1,0,0,,NA,NA,NA,NA,NA
